waist,n_pattern,massa,massa_max
AVLP.SLPL3,104955,5344137.0,11474.0
SPS.SADL2,38917,5295585.0,33558.0
LAL.GNGL4,177007,5267100.0,1920.0
SMP.SCLL4,104146,5199848.0,15486.0
VESL3,236155,5192609.0,648.0
SLP.SCLL4,179755,5178017.0,1620.0
SMP.MB_PEDL3,41650,5130679.0,8577.0
ME.SPSL3,11961,5072186.0,84301.0
SMP.PRWL3,29153,4988780.0,44132.0
SMP.GNGL5,117237,4981560.0,6902.0
GNG.ICLL3,131390,4960761.0,4032.0
LH.PVLPL5,32551,4947504.0,95292.0
MB_ML.CREL5,87037,4915848.0,5810.0
FLA.GNGL5,40982,4895612.0,7320.0
FLAL3,36316,4859218.0,15802.0
SAD.SPSL5,76224,4821250.0,9984.0
SCL.CREL4,224321,4805960.0,504.0
PLP.IPSL4,26762,4803694.0,16380.0
GNG.PRWL2,4487,4803530.0,195003.0
LAL.PVLPL4,52078,4775823.0,12992.0
PLP.SMPL2,214903,4738002.0,1038.0
PRW.SMPL4,47725,4721895.0,23109.0
GNG.SMPL4,48196,4704459.0,18207.0
IPS.LALL2,82132,4656635.0,10361.0
SPS.IBL4,191684,4637191.0,800.0
ME.IPSL2,2916,4588028.0,213240.0
LO.GNGL5,45779,4563197.0,13760.0
IPS.PLPL2,138180,4557920.0,2880.0
PBL5,2665,4526166.0,167384.0
IPS.ICLL4,190307,4499972.0,480.0
AVLPL2,138148,4464261.0,4032.0
AVLP.PVLPL4,109658,4461287.0,6677.0
PLP.LALL4,111112,4458703.0,4884.0
MB_VLL3,9709,4450937.0,90272.0
PLP.SPSL2,130671,4419890.0,2860.0
AOTU.VESL4,75852,4388861.0,4761.0
SIP.LHL2,12114,4374203.0,149744.0
PLP.LALL2,32192,4353839.0,36960.0
VES.SPSL4,208580,4283594.0,900.0
VES.PVLPL3,147663,4253353.0,2800.0
LAL.ALL2,42791,4252943.0,7896.0
GNG.SLPL4,51453,4204226.0,27768.0
IB.SPSL3,82610,4189944.0,6048.0
LAL.LHL4,70145,4024955.0,10032.0
SPS.IBL3,136866,3978494.0,3218.0
VES.IPSL5,70195,3968470.0,5552.0
SCL.AOTUL5,126263,3911762.0,960.0
CRE.IBL5,97397,3892007.0,6006.0
LO.ICLL5,22556,3827648.0,40040.0
WED.SPSL4,86523,3776079.0,4320.0
VES.ICLL5,177348,3774912.0,540.0
VES.CREL5,79167,3755181.0,2464.0
LAL.LOL3,38781,3680374.0,5800.0
SMP.AVLPL4,67508,3663127.0,19152.0
WED.SPSL3,158321,3639310.0,768.0
PLP.VESL5,124358,3620867.0,3546.0
PVLP.GORL5,120438,3609274.0,1674.0
WED.PLPL3,120684,3521617.0,1750.0
SADL5,95825,3515950.0,3034.0
WED.IPSL2,125491,3483772.0,1470.0
LOP.MEL3,10425,3473791.0,49906.0
SMP.CREL3,122749,3468189.0,1368.0
AVLP.SIPL4,68293,3466727.0,6729.0
MB_VL.LHL4,90921,3441921.0,1920.0
LALL2,82182,3425761.0,6420.0
FBL2,9835,3388276.0,48195.0
VES.FLAL4,100780,3385796.0,2800.0
LALL3,102972,3338169.0,4998.0
AL.LHL3,18589,3337040.0,30884.0
CRE.SIPL5,37823,3331233.0,7938.0
CRE.ATLL5,91119,3324058.0,2404.0
SPS.VESL5,105458,3285631.0,2210.0
LO.LALL5,43947,3232890.0,28956.0
VES.AVLPL3,84606,3187347.0,5100.0
LAL.SMPL4,79435,3187170.0,4410.0
ME.LOPL1,214,3154091.0,546480.0
IPSL3,76467,3094861.0,3363.0
VES.ICLL3,147293,3072390.0,560.0
LH.SLPL2,43493,3060591.0,11840.0
AOTU.SPSL4,72727,3030994.0,3024.0
SMP.SLPL3,49620,3015288.0,4659.0
SAD.AMMCL5,79586,2969301.0,1448.0
LOP.LOL3,31329,2954626.0,16682.0
LH.SMPL3,48339,2936280.0,8116.0
GNG.LHL3,55299,2930942.0,9996.0
VES.LALL4,61055,2924807.0,10752.0
AOTU.VESL5,55293,2904645.0,7728.0
LOP.PVLPL4,15880,2851439.0,37011.0
SMP.LOL2,14124,2796849.0,10909.0
AVLP.SCLL5,22967,2788228.0,19720.0
SMP.FLAL2,6872,2786646.0,48482.0
SIP.AOTUL4,98311,2753974.0,1680.0
LAL.LOL2,66513,2719561.0,5067.0
SAD.PVLPL5,83366,2717955.0,1530.0
LO.LALL4,31970,2715917.0,26208.0
AOTUL2,2394,2660969.0,90090.0
LO.LOPL3,9241,2642624.0,85646.0
GNG.AVLPL3,69623,2632464.0,9224.0
IPS.LOPL3,19059,2632350.0,21758.0
LH.SMPL4,64867,2611506.0,8343.0
LO.SLPL3,62376,2563632.0,3956.0
ME.PLPL4,32841,2545433.0,3820.0
SIP.AVLPL5,78418,2513340.0,2640.0
SCL.SMPL3,93169,2511048.0,696.0
SCLL5,63210,2465304.0,3695.0
VES.PLPL5,94437,2455787.0,1368.0
LH.MB_VLL2,36128,2443813.0,9360.0
VES.PLPL3,118786,2418574.0,975.0
GOR.GNGL5,31333,2415753.0,8736.0
VES.SLPL4,49845,2393084.0,4312.0
PLP.SMPL4,81933,2385111.0,3721.0
SPS.LOPL2,15732,2363924.0,24288.0
AL.PLPL1,4961,2355310.0,32864.0
WEDL5,51033,2351027.0,13082.0
SMP.AOTUL5,62744,2295221.0,4484.0
GNG.LHL2,15960,2243954.0,21280.0
IB.VESL4,84817,2206603.0,1086.0
SPS.VESL3,37214,2205709.0,7776.0
SPS.VESL4,87804,2162538.0,774.0
LH.SMPL5,22767,2130891.0,8368.0
MEL1,13364,2124480.0,59127.0
GNG.SADL4,23794,2121055.0,7140.0
SAD.AVLPL5,42109,2119425.0,8083.0
FLAL2,20985,2107103.0,5336.0
GNG.PVLPL3,52952,2084192.0,2938.0
FBL3,6423,2059824.0,12014.0
ME.LOPL3,9680,2054563.0,59172.0
GNGL2,37458,2052959.0,8068.0
LO.ICLL2,9145,2051208.0,29136.0
MB_MLL5,24539,2024306.0,10260.0
CRE.LALL4,54941,2012694.0,2760.0
ICL.IPSL4,44214,2004501.0,3638.0
AL.LHL4,12125,1984997.0,24696.0
VES.PLPL2,92581,1955139.0,792.0
VES.SMPL3,37111,1947246.0,7536.0
PVLPL2,8116,1938897.0,46662.0
PLP.IBL4,72271,1934325.0,1344.0
SPS.PLPL3,52470,1898556.0,3216.0
LO.MEL1,1190,1866549.0,161568.0
SMP.FLAL5,18652,1863417.0,25085.0
SAD.LOPL3,30498,1851598.0,5376.0
IPS.SPSL3,73007,1849219.0,480.0
IPS.GNGL3,52031,1834436.0,2160.0
SMP.IBL3,38580,1812563.0,7806.0
PRW.GNGL2,4018,1770798.0,51356.0
FLA.SMPL4,9004,1769170.0,17462.0
WED.AVLPL3,67396,1742382.0,840.0
LOP.LOL2,17890,1645150.0,10720.0
GNG.GORL3,58673,1588671.0,672.0
SAD.WEDL2,39338,1555378.0,1598.0
AMMC.WEDL2,21224,1550093.0,7016.0
LOP.SPSL4,22225,1539623.0,10107.0
GNG.PRWL3,12276,1496148.0,19927.0
AMMC.WEDL3,20347,1492489.0,6306.0
IPSL1,26363,1490551.0,4804.0
FLA.SMPL2,10055,1428780.0,19628.0
SMP.FBL4,3711,1421873.0,35640.0
LO.ICLL3,32006,1398417.0,2769.0
IPS.AVLPL3,48647,1373822.0,1344.0
SAD.GNGL2,37459,1364962.0,2436.0
AVLP.LOL4,9250,1364216.0,19584.0
SPS.GNGL3,46513,1346245.0,875.0
AMMC.AVLPL5,18060,1332005.0,8280.0
IPS.WEDL4,55500,1301570.0,960.0
GNG.SMPL2,9882,1301190.0,72548.0
GNG.AVLPL2,40296,1294161.0,2367.0
PRWL4,7675,1273850.0,14362.0
SPSL2,46517,1270879.0,1443.0
LAL.FLAL5,24583,1265406.0,4032.0
PVLP.ICLL4,14745,1264466.0,19008.0
MB_VL.SIPL4,9765,1253059.0,18144.0
PLP.GNGL2,65490,1221587.0,180.0
SPS.IBL5,46910,1186985.0,3678.0
SMP.MB_VLL3,16715,1171591.0,5796.0
GNG.SLPL5,18758,1165855.0,7338.0
WED.IPSL4,54168,1159599.0,540.0
GNG.SPSL1,25460,1158980.0,2176.0
ME.PLPL1,10306,1154665.0,12726.0
SCL.PLPL5,49012,1144350.0,720.0
GNG.SADL5,32671,1139869.0,3444.0
LO.AVLPL1,671,1132547.0,264010.0
SAD.AMMCL2,10948,1127845.0,19698.0
AL.VESL2,12273,1120531.0,6252.0
IPS.WEDL2,31490,1111346.0,2160.0
PLP.VESL4,43390,1110327.0,1440.0
IPS.LALL3,24597,1107213.0,6512.0
PVLP.GNGL4,23428,1102321.0,9350.0
AVLP.GNGL3,17281,1091183.0,6156.0
IB.SPSL4,34572,1087586.0,720.0
