waist,n_pattern,massa,massa_max
OCG.SPSL2,75,1942.0,84.0
GNG.FLAL3,72,1872.0,108.0
GNG.AMMCL3,98,1810.0,62.0
AVLPL1,134,1763.0,40.0
LH.SIPL2,70,1760.0,77.0
IBL3,109,1740.0,32.0
ICL.IBL2,126,1738.0,36.0
ME.SMPL3,84,1656.0,72.0
LH.MB_CAL2,125,1616.0,40.0
SMP.CREL1,59,1420.0,112.0
SMP.SCLL3,95,1419.0,38.0
PLP.IBL3,82,1392.0,32.0
SMP.SPSL2,105,1380.0,24.0
WED.LOPL2,43,1339.0,144.0
IB.CREL2,81,1244.0,48.0
MB_CA.CREL2,31,1234.0,185.0
ICLL3,80,1216.0,40.0
LH.PLPL2,88,1191.0,30.0
FLAL1,27,1181.0,192.0
LOP.SPSL3,81,1172.0,30.0
VES.SPSL2,95,1160.0,30.0
VES.SPSL3,84,1156.0,24.0
FLA.PRWL1,19,1148.0,294.0
SLP.MB_MLL3,66,1132.0,66.0
ICL.GNGL2,71,1116.0,38.0
LAL.VESL3,61,1078.0,72.0
SLP.MB_PEDL3,96,1077.0,20.0
LAL.SPSL2,65,1068.0,35.0
IPS.CREL2,70,1050.0,36.0
PVLP.AVLPL1,76,1035.0,30.0
PVLP.EPAL3,71,1030.0,36.0
IB.IPSL3,63,1008.0,16.0
PB.FBL2,42,968.0,88.0
SCL.MB_MLL3,67,957.0,34.0
NO.FBL2,49,938.0,80.0
GNG.GORL3,78,936.0,12.0
SMP.AOTUL1,54,930.0,32.0
SCL.IBL3,56,924.0,36.0
ME.AMEL2,22,867.0,158.0
SAD.SCLL3,45,864.0,32.0
ME.PVLPL2,22,846.0,110.0
LO.IBL1,28,833.0,98.0
SAD.GNGL1,43,816.0,32.0
SAD.PLPL3,70,800.0,20.0
SCL.MB_MLL2,48,780.0,39.0
NO.FBL3,27,765.0,66.0
ICL.SCLL3,60,750.0,15.0
PLP.AOTUL2,42,720.0,32.0
IPS.OCGL2,32,710.0,48.0
PRW.GNGL1,10,695.0,315.0
SMP.VESL3,55,660.0,12.0
SAD.LALL2,45,652.0,31.0
AL.MB_CAL3,27,640.0,80.0
LH.CREL1,39,600.0,24.0
LH.LALL3,34,566.0,36.0
LO.AOTUL2,37,548.0,24.0
SMP.ICLL2,32,542.0,55.0
GNG.PVLPL2,36,540.0,24.0
LO.IBL3,45,528.0,22.0
LO.SLPL1,28,520.0,40.0
AVLP.SADL2,34,516.0,36.0
AVLP.SCLL3,28,512.0,32.0
ICLL2,40,480.0,12.0
NO.IPSL3,29,474.0,36.0
SMP.FBL3,19,463.0,78.0
SIP.SCLL3,30,450.0,18.0
AVLP.SIPL3,30,447.0,33.0
SLP.MB_MLL2,24,427.0,31.0
SLP.SIPL3,30,420.0,14.0
AVLP.PVLPL3,22,417.0,24.0
ME.AOTUL1,6,413.0,176.0
LAL.FLAL3,24,408.0,24.0
ME.AMEL3,19,389.0,58.0
MB_CA.SMPL2,21,384.0,32.0
CRE.SIPL3,21,382.0,40.0
LH.PRWL1,24,358.0,40.0
MB_CA.SLPL3,15,352.0,64.0
PRW.FLAL3,12,340.0,52.0
VES.GNGL3,15,324.0,48.0
CRE.SMPL3,26,314.0,16.0
WED.LALL1,16,312.0,48.0
LAL.SMPL2,24,309.0,18.0
LAL.AVLPL2,24,288.0,12.0
ATL.SMPL2,20,287.0,32.0
PLP.AMMCL3,17,280.0,28.0
PLP.PVLPL2,10,252.0,54.0
SLP.PRWL1,12,246.0,36.0
GNG.PRWL1,9,240.0,84.0
LH.PVLPL3,22,236.0,22.0
AVLP.AMMCL2,18,234.0,26.0
SCL.SPSL3,13,224.0,32.0
GNG.FLAL2,14,218.0,16.0
GNG.SCLL1,18,216.0,12.0
MB_CA.SIPL3,11,208.0,32.0
SLP.AVLPL1,17,206.0,16.0
PLP.AMEL2,10,204.0,42.0
IPS.LOL2,15,198.0,18.0
PLP.CREL3,13,194.0,23.0
SLP.ALL2,14,188.0,24.0
SMP.GNGL3,14,180.0,20.0
IPS.ATLL3,10,170.0,32.0
SMP.ICLL3,12,162.0,19.0
AVLP.SIPL2,15,160.0,12.0
SPS.SMPL3,12,150.0,20.0
WED.VESL3,11,144.0,24.0
IPS.AVLPL2,7,132.0,24.0
SPS.ICLL3,7,126.0,18.0
AOTU.CREL1,5,111.0,44.0
SAD.ATLL3,9,108.0,12.0
WED.IPSL1,9,100.0,20.0
SCL.SPSL2,8,96.0,12.0
IPS.LHL3,7,84.0,12.0
PVLP.SLPL2,3,81.0,35.0
AMMC.GNGL3,5,80.0,16.0
FB.LALL3,3,80.0,40.0
AME.SCLL3,5,80.0,16.0
PB.FBL3,6,72.0,12.0
OCG.SPSL3,6,72.0,12.0
IPS.VESL2,4,64.0,16.0
AL.SIPL2,5,64.0,16.0
GNG.GORL1,5,60.0,12.0
ICL.SPSL3,5,60.0,12.0
AME.SLPL3,3,48.0,16.0
AME.MB_CAL2,3,48.0,16.0
PLP.CREL2,4,48.0,14.0
MB_CA.SMPL3,4,48.0,12.0
LAL.LOPL2,1,48.0,48.0
LO.SPSL1,2,44.0,33.0
SPS.LOPL3,1,42.0,42.0
LAL3,2,40.0,20.0
ICL.LALL3,4,40.0,10.0
WED.ICLL2,3,36.0,12.0
PVLP.SMPL2,2,36.0,18.0
